sample,dice,iou,precision,recall
sample_000,0.02776832093351906,0.014079644510457654,0.014079644510457654,0.9999999999997821
sample_001,0.03954337238698536,0.02017049080811955,0.02017049080811955,0.9999999999998542
sample_002,0.0073578786829609465,0.003692523912973268,0.003692523912973268,0.9999999999991976
sample_003,0.025437352002382483,0.01288252465839877,0.01288252465839877,0.9999999999997752
sample_004,0.006670179335871972,0.003346249710772718,0.003346249710772718,0.9999999999991247
sample_005,0.038443748218499864,0.019598595851424074,0.019598595851424074,0.9999999999998425
sample_006,0.020977175902603753,0.010599764513666557,0.010599764513666557,0.9999999999997284
sample_007,0.02821610179241151,0.014309936204500301,0.014309936204500301,0.9999999999997962
sample_008,0.020217444931800208,0.010211952257102173,0.010211952257102173,0.9999999999997025
sample_009,0.01779606686126754,0.008977919256313981,0.008977919256313981,0.9999999999996825
sample_010,0.025217692328176108,0.012769859356248026,0.012769859356248026,0.9999999999997705
sample_011,0.01012559200204547,0.005088558333806099,0.005088558333806099,0.9999999999993973
sample_012,0.01260747825935131,0.006343728338229384,0.006343728338229384,0.9999999999995532
sample_013,0.02260294523946032,0.011430655864002746,0.011430655864002746,0.9999999999997372
sample_014,0.04503902324661722,0.02303832341523964,0.02303833050846146,0.999986636018469
sample_015,0.027264168324546634,0.013820486193222868,0.013820486193222868,0.9999999999997934
sample_016,0.01338522353970075,0.006737704611031943,0.006737704611031943,0.9999999999995723
sample_017,0.04212182953460093,0.021514019702558066,0.021514019702558066,0.9999999999998611
sample_018,0.013503384006097414,0.006797587218310601,0.006797587218310601,0.9999999999995759
sample_019,0.04959578920359277,0.02542846704752619,0.02542846704752619,0.9999999999998835
sample_020,0.023080641937141804,0.011675054848852328,0.011675054848852328,0.9999999999997458
sample_021,0.046316550593224044,0.02370729536931266,0.02370729536931266,0.9999999999998787
sample_022,0.009393467278156323,0.0047188970415525675,0.0047188970415525675,0.9999999999994009
sample_023,0.015082340504368841,0.007598471620329719,0.007598471620329719,0.9999999999996031
sample_024,0.031269841732574896,0.015883254290214067,0.015883254290214067,0.9999999999998136
sample_025,0.009564861190161863,0.00480541214514585,0.00480541214514585,0.999999999999373
sample_026,0.03840494329549446,0.019578425814354903,0.019578425814354903,0.9999999999998449
sample_027,0.02193114563633911,0.011087149766277622,0.011087149766277622,0.9999999999997315
sample_028,0.03041758965201972,0.015443674502883902,0.015443674502883902,0.9999999999998082
sample_029,0.01751760528635052,0.00883619715012943,0.00883619715012943,0.999999999999678
sample_030,0.0285425023073332,0.014477868450493338,0.014477872745666327,0.99997950903631
sample_031,0.014364769420594111,0.007234344556025272,0.007234344556025272,0.9999999999995971
sample_032,0.040741548227090196,0.02079437155941507,0.02079437155941507,0.999999999999859
sample_033,0.024416384910245097,0.01235907441413752,0.01235907441413752,0.9999999999997505
sample_034,0.01867048522834107,0.009423210571055756,0.009423210571055756,0.9999999999996882
sample_035,0.03586181762112675,0.01825829666306501,0.01825829666306501,0.9999999999998437
sample_036,0.016295969140456813,0.008214919608443672,0.008214919608443672,0.9999999999996376
sample_037,0.014045344463606264,0.007072338950162337,0.007072338950162337,0.999999999999588
sample_038,0.020480756241081935,0.010346328435883723,0.010346331466303366,0.9999716914363765
sample_039,0.00802393710549371,0.004028129280747613,0.004028129280747613,0.9999999999992571
sample_040,0.007291290547867516,0.003658984633971994,0.003658984633971994,0.9999999999991953
sample_041,0.012065256483785683,0.006069241720905249,0.006069241720905249,0.9999999999995196
sample_042,0.014215736982341689,0.007158751958653868,0.007158751958653868,0.9999999999995853
sample_043,0.017456011571665705,0.008804854607793088,0.008804854607793088,0.9999999999996558
sample_044,0.017002969102354895,0.008574379506084357,0.008574379506084357,0.9999999999996456
sample_045,0.021171190025808116,0.010698848692264711,0.010698848692264711,0.9999999999997292
sample_046,0.02197960192805696,0.011111918739301865,0.011111918739301865,0.9999999999997435
sample_047,0.01708512036377567,0.008616164283819396,0.008616164283819396,0.9999999999996567
sample_048,0.02134971905466259,0.010790041706845922,0.010790041706845922,0.9999999999997234
sample_049,0.02696410162281792,0.013666300570099023,0.013666300570099023,0.9999999999997797
