dice,err_branchpoints,err_components,err_tips,error_diametro,error_longitud,error_msg,error_topologico,fn,fp,gt_diameter,gt_length,gt_num_branchpoints,gt_num_components,gt_num_tips,iou,precision,pred_diameter,pred_length,pred_num_branchpoints,pred_num_components,pred_num_tips,recall,sample,status,tn,tp
0.8649041959738055,1.2584027964506588,3.0,1.0,0.13214808425080946,2.394874742025004,,1.7528009321502196,4871,7940,3.808456111176625,9831.203083152954,3719,5,9,0.7619658119658119,0.837790353224785,3.305175932131346,33375.70303071431,8399,20,18,0.8938317349607672,sample_000,ok,67055044,41009
0.8002258052239658,0.824874686716792,24.0,0.7083333333333334,0.010873890762789122,1.5941926160535005,,8.511069340016709,5500,25996,2.9493462924866476,25348.668300600322,9576,3,24,0.6669803440582805,0.7081626008958541,2.9814171618927845,65759.32813220679,17475,75,41,0.919802860850673,sample_001,ok,67014287,63081
0.8038952790911016,1.117568470273881,4.333333333333333,1.25,0.018880762844071804,1.9790558787253436,,2.2336339345357383,1072,4486,3.054509068082825,4032.731249348155,1497,3,8,0.672094395280236,0.7174707141957425,2.9968376067632865,12013.73173569002,3170,16,18,0.9139922978177151,sample_002,ok,67091914,11392
0.8099101826622263,0.8391828182294395,11.75,1.4285714285714286,0.002099635898333632,1.614457770014452,,4.672584748933622,4330,14506,3.0092840466995363,15137.548631522257,5727,4,14,0.6805454267930736,0.7344828217377776,3.0156024475122694,39576.481638655,10533,51,34,0.902602514789572,sample_003,ok,67049901,40127
0.8548810533543358,0.5595611285266457,2.0,0.6,0.04181196456966706,1.1133627415154383,,1.0531870428422152,842,2751,3.3533890263217687,3415.368960543673,1276,3,5,0.746543453724605,0.7936853157342133,3.2131772431648926,7217.91350974131,1990,9,8,0.9263019693654267,sample_004,ok,67094688,10583
0.7521462756495882,0.6206129749589094,20.25,1.736842105263158,0.07802175924307266,1.22320833012924,,7.535818360074022,7430,29495,2.6977837200719073,27505.795597193963,10343,4,19,0.6027519579998278,0.6551179813381353,2.9082695519692385,61151.113898513795,16762,85,52,0.8829128386151252,sample_005,ok,67015912,56027
0.6932970224354542,0.5319009563736408,11.6,0.4375,0.1424511778476571,1.072432601582422,,4.189800318791213,4225,24606,2.478031614735874,20639.07008697642,7633,5,16,0.5305697119689988,0.5697650020981956,2.8310301369987307,42773.08171459448,11693,63,23,0.8852245252777702,sample_006,ok,67047447,32586
0.7409597070827525,0.8233012138655988,13.4,0.6666666666666666,0.07895725100437159,1.6030642299085058,,4.963322626844088,4936,25910,2.6735403808867355,21126.215398788085,7991,5,15,0.5885115124996665,0.6299945734441493,2.8846357798107327,54992.89561792753,14570,72,25,0.8993720949196771,sample_007,ok,67033902,44116
0.7112929508446559,0.6848151062155783,28.5,0.5625,0.12425123827891611,1.2606721410115087,,9.91577170207186,3265,21362,2.529507593835211,17322.738389293336,6355,2,16,0.5519430900225603,0.5868005183852686,2.8438020446051575,39161.03208270602,10707,59,25,0.9028331646925778,sample_008,ok,67053900,30337
0.8145454545454546,0.8851978505129457,6.0,1.5,0.028243056772906998,1.7221643776648432,,2.7950659501709816,2372,10888,3.083077652488351,10980.631861002395,4094,5,10,0.6871165644171779,0.7278544291141772,2.996002115313842,29891.084896272336,7718,35,25,0.924679283627588,sample_009,ok,67066484,29120
0.7891708569804256,0.7276772015955815,8.2,1.6666666666666667,0.03316956884286923,1.4018033137640837,,3.5314479560874155,3306,18203,2.846549218206055,17424.032317832676,6518,5,12,0.6517607059014005,0.6886193742623035,2.9409680284639563,41849.09856010301,11261,46,32,0.9241081676690693,sample_010,ok,67047099,40256
0.8055298074631214,0.9238673517048108,3.75,0.8333333333333334,0.001770495623488132,1.83350295239343,,1.8357335616793815,1385,5958,2.9897652311749514,5425.3059117528455,2141,4,12,0.6743825107534034,0.7185108192384012,2.984471864917899,15372.62031858922,4119,19,22,0.9165310673175435,sample_011,ok,67086313,15208
0.8660114042288833,0.8155589902112313,5.333333333333333,1.8571428571428572,0.1571609461745715,1.5590699096108347,,2.6686783935624736,2869,3170,3.841771400787599,5272.843105795087,1941,3,7,0.7636861670905889,0.8602662434981927,3.237994972453411,13493.574130139146,3524,19,20,0.8718338172883627,sample_012,ok,67083309,19516
0.8134706555501062,0.7609001406469761,8.5,0.8571428571428571,0.009393401807655334,1.4167947900838445,,3.372680999263278,3210,12764,2.9928873742036557,13117.412587432538,4977,4,14,0.6855883163405897,0.7318262038826793,2.9647739805327022,31702.094400687198,8764,38,26,0.9156195783607591,sample_013,ok,67058058,34832
0.775536723480287,0.6883095589440892,27.333333333333332,0.88,0.05492213243975302,1.3386517827266555,,9.633880964092475,5597,34478,2.7449710497896564,33136.019718274605,12198,3,25,0.6333687080306662,0.6675505500969058,2.895730713329492,77493.61158660852,20594,85,47,0.9252017961190998,sample_014,ok,66999558,69231
0.7822890963366866,0.9953174493871367,9.6,0.38461538461538464,0.04362299133334293,1.876776001962541,,3.659977611334174,3054,22180,2.7705820665394616,18855.321523519237,7261,5,13,0.6424259600396769,0.6714852775638367,2.891443144016428,54242.53646814792,14488,53,18,0.936887786732796,sample_015,ok,67038294,45336
0.8529111542541481,0.8976441917140536,4.666666666666667,0.5,0.09209173920606765,1.748211157531543,,2.0214369527935734,2079,5270,3.404290991923289,6440.609500849163,2462,3,6,0.7435441094360692,0.8017082439703503,3.090783913713524,17700.15489153733,4672,17,9,0.9111006585136406,sample_016,ok,67080208,21307
0.7575358906891936,0.7898902221087567,30.666666666666668,0.6666666666666666,0.055446811412130835,1.5119078053296755,,10.707741185147363,6354,35666,2.727438321346429,31437.889364990537,11751,3,21,0.609704445393918,0.6479448809570814,2.878666079588343,78969.07967901052,21033,95,35,0.9117450969498305,sample_017,ok,67001202,65642
0.8456216564096376,0.8484349258649094,4.75,0.375,0.0937897761581148,1.6089016833109513,,1.991144975288303,2558,5118,3.5024013282677022,6676.771732085926,2428,4,8,0.732534234642322,0.8042156000153017,3.1739118916735904,17419.04101092195,4488,23,11,0.8915228361816717,sample_018,ok,67080165,21023
0.7755980204163636,0.8045623685487785,26.0,0.7777777777777778,0.04464933103679875,1.5706310891221578,,9.194113382108851,9577,34542,2.823254942133558,33140.19092342496,12362,4,27,0.633450478967789,0.6882097015868431,2.9493113866461576,85191.20508720016,22308,108,48,0.8884072662868062,sample_019,ok,66988501,76244
0.8576879325054507,1.355983493810179,4.5,0.3076923076923077,0.10501088476768902,2.6381637441050607,,2.054558600500829,3124,8886,3.5303709807332186,9488.319677360503,3635,4,13,0.7508350449160806,0.8028706435654547,3.1596436004882493,34520.06064265161,8564,22,17,0.92053923438891,sample_020,ok,67060663,36191
0.7803509871513632,0.7722563936549045,26.0,0.5,0.048634828495623415,1.4862827896406692,,9.0907521312183,7673,34381,2.7998273684605532,32961.64652859235,12356,4,24,0.6398160281610524,0.6848208719885592,2.935996492342985,81951.97448225826,21898,108,36,0.9068539380402059,sample_021,ok,66992107,74703
0.714677854895222,0.7256024096385543,5.333333333333333,2.0,0.15111645794832343,1.3802410512869745,,2.686311914323962,683,12102,2.4946270407738194,8753.342060724624,3320,3,6,0.5560301420286835,0.5695383083161414,2.8716062430776668,20835.06410889367,5729,19,18,0.9590895477687931,sample_022,ok,67080067,16012
