sample,pred_volume_vox,gt_volume_vox,volume_error_rel,pred_centerline_vox,gt_skeleton_vox,pred_length_approx,gt_length_graph,gt_length_skeleton,gt_length_final,length_error_rel,pred_diam_mean,pred_diam_median,pred_diam_std,pred_diam_count,gt_diam_mean,gt_diam_median,gt_diam_std,gt_diam_count,diam_mean_error_rel,diam_median_error_rel
sample_000,48949,45880,0.06689189189189189,2512,4093,5528.30857049333,3093.061912417412,9831.203083153248,3093.061912417412,0.7873255456993514,4.233431452653508,4.0,0.6923380829004891,2512,4.227297946814363,3.8584389686584473,0.9864306523654024,4093,0.001450928209062503,0.03668867966849623
sample_001,89077,68581,0.29885828436447415,5531,10356,10377.319938162878,7752.989645123482,25348.66830060596,7752.989645123482,0.33849268645548397,3.8339508536026563,3.4641016151377544,0.5205660336137764,5531,3.2618821351028124,3.0380043983459473,0.863144566389813,10356,0.17537994777417446,0.14025562866985886
sample_002,15878,12464,0.27390885750962773,1080,1729,2694.6908865537575,1328.1343377828598,4032.7312493479462,1328.1343377828598,1.0289294613466426,3.862782897713608,4.0,0.44013986407285205,1080,3.3554857091589287,3.175304889678955,0.8050449838426273,1729,0.1511844282841056,0.2597215508348955
sample_003,54633,44457,0.2288953370672785,3528,6362,7134.731026678136,4843.149968862534,15137.54863152244,4843.149968862534,0.4731592192165392,3.8824533564980213,4.0,0.5336970850662234,3528,3.331626654420773,3.0645480155944824,0.865336463126062,6362,0.16533266155328358,0.30524957665708236
sample_004,13334,11425,0.16708971553610502,644,1345,1060.6470319188893,992.5055605173111,3415.368960543511,992.5055605173111,0.06865600971148382,3.9449189459033938,4.0,0.6076936143205689,644,3.7004192286707656,3.6256556510925293,0.9301706388972487,1345,0.06607351819443857,0.1032487320726855
sample_005,85522,63457,0.3477157760373166,5758,11164,10560.861744908229,8331.976907610893,27505.795597201497,8331.976907610893,0.2675097233240466,3.7382489515376447,3.4641016151377544,0.4956915662795504,5758,2.9940984597004516,2.597064971923828,0.9153280439300882,11164,0.24853908508795083,0.3338525037252539
sample_006,57192,36811,0.553666023742903,4612,8152,10104.83264144527,6031.595431923866,20639.07008697946,6031.595431923866,0.6753167143742239,3.642667231545445,3.4641016151377544,0.35805037581519095,4612,2.73384494496047,2.5044150352478027,0.5665703458789627,8152,0.33243373522711483,0.38319789906348095
sample_007,70026,49052,0.42758705047704476,4990,8788,10461.840914292346,6657.244387984276,21126.215398790264,6657.244387984276,0.5714971998286593,3.7499871557083315,3.4641016151377544,0.4721938939731204,4990,2.9553189582861603,2.4884440898895264,0.8365610338680948,8788,0.2688942238177272,0.3920753249841117
sample_008,51699,33602,0.5385691327897149,3832,7027,7431.7487792042675,5293.0414081811905,17322.738389294078,5293.0414081811905,0.40406020019367006,3.707800016066276,3.4641016151377544,0.3692596004844699,3832,2.7975893682583273,2.4618141651153564,0.6055733546946227,7027,0.32535534275875927,0.40713367573601256
sample_009,40008,31492,0.270417883907024,2438,4409,5037.400860825654,3259.890819787979,10980.631861002688,3259.890819787979,0.5452667402993829,3.8634029525083964,4.0,0.5021278649419995,2438,3.412879200797147,3.1062512397766113,0.8358716792214325,4409,0.13200694346463254,0.2877258441875627
sample_010,58459,43562,0.34197236123226665,4055,6969,8201.935084669967,5158.298879623413,17424.032317833513,5158.298879623413,0.5900465010024308,3.8188789562433945,3.4641016151377544,0.4872082740179998,4055,3.141241786845669,2.9158549308776855,0.9189035416044528,6969,0.2157227031155046,0.1880226202114397
sample_011,21166,16593,0.27559814379557646,1353,2392,2675.1231771589564,1827.9553961753845,5425.305911752752,1827.9553961753845,0.4634510134963325,3.904526987601581,4.0,0.4150416155431709,1353,3.3100998116576155,3.0589892864227295,0.7689675520271831,2392,0.17957983437553546,0.3076214479579677
sample_012,22686,22385,0.013446504355595265,1104,2075,2398.61418605382,1532.2815039157867,5272.843105794959,1532.2815039157867,0.5653874173408063,4.127124034287835,4.0,0.5609574783887129,1104,4.2490959021556804,4.386756420135498,0.7667775334583475,2075,0.028705369489534425,0.08816455328138596
sample_013,47596,38042,0.2511434730035224,3417,5504,7403.508450932665,4157.457659125328,13117.41258743282,4157.457659125328,0.7807778353875675,3.8262670207203024,4.0,0.4519747923568937,3417,3.3208230406825625,3.169645309448242,0.8186382159510647,5504,0.1522044306021952,0.2619708546178949
sample_014,103709,74828,0.3859651467365157,7353,13039,15524.847121140427,9631.665900588036,33136.01971828531,9631.665900588036,0.6118548215208128,3.7623474064586997,3.4641016151377544,0.4975648404813948,7353,3.049119804889039,2.6513941287994385,0.8571406165820781,13039,0.23391261977507496,0.30652081390340596
sample_015,67516,48390,0.3952469518495557,4564,8155,9015.007561591134,6219.176850914955,18855.321523520764,6219.176850914955,0.4495499609831582,3.7868023773610155,3.4641016151377544,0.4061380157706873,4564,3.0818086917088996,2.7750744819641113,0.7034192908250004,8155,0.22875971748304355,0.24829140178103296
sample_016,26577,23386,0.1364491576156675,1454,2649,2400.5679427903515,1976.5537719726562,6440.609500849158,1976.5537719726562,0.21452195069528374,4.016473374334927,4.0,0.5003349186122018,1454,3.78553541303356,3.5705201625823975,0.8915153027561505,2649,0.06100536280977582,0.12028494949233923
